TIME,TYPE,TEMPERATURE,PRESSURE,HUMIDITY
2019-06-14 09:37:06,AVG,19.70,1010.30,65.48
2019-06-14 09:37:26,AVG,19.70,1009.22,64.22
2019-06-14 09:37:46,AVG,19.70,1009.22,64.06
2019-06-14 09:38:06,AVG,19.70,1009.22,64.38
2019-06-14 09:38:26,AVG,19.70,1009.22,64.06
2019-06-14 09:38:46,AVG,19.70,1009.22,64.22
2019-06-14 09:39:06,AVG,19.70,1009.22,64.06
2019-06-14 09:39:26,AVG,19.70,1009.22,64.06
2019-06-14 09:39:46,AVG,19.70,1009.22,64.06
2019-06-14 09:40:06,AVG,19.70,1009.22,63.90
2019-06-14 09:40:26,AVG,19.70,1009.22,64.22
2019-06-14 09:40:46,AVG,19.70,1009.22,63.90
2019-06-14 09:41:06,AVG,19.70,1009.22,64.06
2019-06-14 09:41:26,AVG,19.70,1009.22,63.90
2019-06-14 09:41:46,AVG,19.70,1009.22,64.06
2019-06-14 09:42:06,AVG,19.70,1009.22,63.90
2019-06-14 09:42:26,AVG,19.91,1010.30,64.38
2019-06-14 09:42:46,AVG,19.70,1010.30,63.90
2019-06-14 09:43:06,AVG,19.70,1009.22,63.75
2019-06-14 09:43:26,AVG,19.70,1010.30,64.06
2019-06-14 09:43:46,AVG,19.70,1010.30,64.22
2019-06-14 09:44:06,AVG,19.70,1009.22,63.90
2019-06-14 09:44:26,AVG,19.70,1010.30,63.90
2019-06-14 09:44:46,AVG,19.91,1010.30,64.54
2019-06-14 09:45:06,AVG,19.91,1009.22,63.75
2019-06-14 09:45:26,AVG,19.91,1010.30,64.06
2019-06-14 09:45:46,AVG,19.91,1009.22,63.59
2019-06-14 09:46:06,AVG,19.91,1009.22,63.75
2019-06-14 09:46:26,AVG,19.91,1009.22,63.90
2019-06-14 09:46:46,AVG,19.91,1009.22,63.59
2019-06-14 09:47:06,AVG,19.91,1009.22,63.59
2019-06-14 09:47:26,AVG,19.91,1010.30,64.06
2019-06-14 09:47:46,AVG,19.91,1010.30,63.59
2019-06-14 09:48:06,AVG,19.91,1010.30,63.43
2019-06-14 09:48:26,AVG,19.91,1010.30,63.90
2019-06-14 09:48:46,AVG,19.91,1010.30,63.12
2019-06-14 09:49:06,AVG,19.91,1009.22,63.12
2019-06-14 09:49:26,AVG,19.91,1010.30,63.43
2019-06-14 09:49:46,AVG,19.91,1009.22,64.38
2019-06-14 09:50:06,AVG,19.91,1010.30,63.27
2019-06-14 09:50:26,AVG,19.91,1009.22,63.43
2019-06-14 09:50:46,AVG,19.91,1010.30,63.27
2019-06-14 09:51:06,AVG,19.91,1009.22,63.12
2019-06-14 09:51:26,AVG,19.91,1009.22,63.90
2019-06-14 09:51:46,AVG,19.91,1010.30,63.12
2019-06-14 09:52:06,AVG,19.91,1009.22,63.12
2019-06-14 09:52:26,AVG,19.91,1010.30,62.80
2019-06-14 09:52:46,AVG,19.91,1009.22,63.12
2019-06-14 09:53:06,AVG,19.91,1010.30,63.12
2019-06-14 09:53:26,AVG,19.91,1009.22,63.90
2019-06-14 09:53:46,AVG,19.91,1010.30,62.96
2019-06-14 09:54:06,AVG,19.91,1010.30,62.96
2019-06-14 09:54:26,AVG,19.91,1009.22,62.80
2019-06-14 09:54:46,AVG,19.91,1009.22,62.80
2019-06-14 09:55:06,AVG,19.91,1010.30,62.80
2019-06-14 09:55:26,AVG,19.91,1010.30,62.80
2019-06-14 09:55:46,AVG,19.91,1010.30,62.96
2019-06-14 09:56:06,AVG,19.91,1009.22,62.80
2019-06-14 09:56:26,AVG,19.91,1010.30,62.96
2019-06-14 09:56:46,AVG,19.91,1009.22,62.80
2019-06-14 09:57:06,AVG,20.13,1009.22,62.96
2019-06-14 09:57:26,AVG,19.91,1009.22,62.80
2019-06-14 09:57:46,AVG,20.13,1010.30,62.64
2019-06-14 09:58:06,AVG,20.13,1009.22,62.80
2019-06-14 09:58:26,AVG,20.13,1010.30,61.85
2019-06-14 09:58:46,AVG,20.13,1009.22,62.80
2019-06-14 09:59:06,AVG,20.13,1010.30,62.96
2019-06-14 09:59:26,AVG,20.13,1009.22,62.80
2019-06-14 09:59:46,AVG,20.13,1010.30,62.80
2019-06-14 10:00:06,AVG,20.13,1009.22,62.64
